frame,x,y,undistort_x,undistort_y
0,,,,
1,,,,
2,,,,
3,1326,273,1357.642828,249.960281
4,1310,270,1338.755877,247.892231
5,1289,266,1314.309820,245.037701
6,1267,262,1289.065587,242.178071
7,1247,261,1266.242838,242.485086
8,1223,258,1239.357625,240.697950
9,1206,250,1220.892454,232.736463
10,1182,250,1194.403231,234.134829
11,1160,248,1170.512202,233.045125
12,1139,253,1147.612827,239.613838
13,1116,249,1123.186632,236.110017
14,1094,248,1099.884006,235.793565
15,1074,256,1078.581887,245.257657
16,1050,252,1053.578142,241.455153
17,1029,253,1031.694770,242.982372
18,1004,248,1005.834796,237.853591
19,983,255,984.046294,245.757278
20,959,258,959.276611,249.155292
21,936,258,935.571604,249.142804
22,917,263,916.013617,254.509046
23,894,260,892.245381,251.008868
24,875,270,872.739638,261.654347
25,854,278,851.134757,269.974788
26,832,283,828.386181,274.918924
27,813,281,808.495395,272.258522
28,792,292,786.776489,283.574709
29,771,291,764.560350,281.795937
30,752,294,744.445462,284.353226
31,732,303,723.356640,293.332472
32,708,309,697.635792,298.814514
33,695,311,683.527461,300.390148
34,680,319,667.409515,308.376312
35,659,326,644.434466,314.947224
36,643,333,626.835197,321.741620
37,630,338,612.376683,326.499883
38,614,346,594.518546,334.356663
39,597,354,575.307459,342.151263
40,582,360,558.103460,347.869143
41,570,368,544.380350,355.944566
42,553,378,524.638320,365.940274
43,539,386,508.155070,373.931596
44,525,393,491.413006,380.844895
45,513,402,477.054207,390.088850
46,505,406,467.281243,394.065133
47,491,414,450.046796,402.150798
48,480,423,436.470237,411.533704
49,468,433,421.476145,422.015434
50,458,441,408.805037,430.420836
51,448,450,396.025438,439.977631
52,438,459,383.082950,449.582468
53,430,466,372.599643,457.080805
54,420,475,359.347191,466.783268
55,413,483,350.015109,475.516949
56,406,490,340.553450,483.166737
57,398,499,329.643142,493.080893
58,392,505,321.352380,499.708011
59,384,515,310.211805,510.854640
60,378,523,301.758524,519.828122
61,372,531,293.209235,528.846682
62,366,539,284.561142,537.912840
63,361,547,277.277162,547.029053
64,357,554,271.387864,555.040161
65,355,559,268.411625,560.776158
66,358,563,272.801376,565.332204
67,360,565,275.720306,567.600580
68,363,569,280.068658,572.137204
69,364,572,281.490395,575.549004
70,369,576,288.706077,580.036252
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
201,,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,,,,
211,,,,
212,,,,
213,,,,
214,,,,
215,,,,
216,,,,
217,,,,
218,,,,
219,,,,
220,,,,
221,,,,
222,,,,
223,,,,
224,,,,
225,,,,
226,,,,
227,,,,
228,,,,
229,,,,
230,,,,
231,,,,
232,,,,
233,,,,
234,,,,
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,,,,
260,,,,
261,,,,
262,,,,
263,,,,
264,,,,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,,
271,,,,
